日期,省级,地区,面积,人口,确诊,疑似,治愈,死亡,现存确诊
2020-02-26,,通化,1.6926032857449946,232.52,6,0,2,0,4
2020-02-26,,四平市,-1,-1,15,0,11,1,3
2020-02-26,,公主岭,-1,-1,6,0,4,0,2
2020-02-26,,白城,2.953236995455999,203.31,1,0,0,0,1
2020-02-26,,吉林市,3.097404343899494,441.47,5,0,5,0,0
2020-02-26,,延边,4.784335375719999,227.16,5,0,5,0,0
2020-02-26,,松原,2.4063623718794944,288.11,2,0,2,0,0
2020-02-26,,梅河口,-1,-1,1,0,1,0,0
2020-02-26,,兰州,1.3372283581845001,361.62,36,0,31,2,3
2020-02-26,,平凉,1.1011960941875036,206.8,9,0,6,0,3
2020-02-26,,定西,1.9421789714069975,269.86,9,0,8,0,1
2020-02-26,,白银,2.0168245949220016,170.88,4,0,3,0,1
2020-02-26,,庆阳,2.7257218799849983,221.12,3,0,2,0,1
2020-02-26,,天水,1.4049973696890026,326.25,12,0,12,0,0
2020-02-26,,甘南,3.5748597872480063,68.91,8,0,8,0,0
2020-02-26,,陇南,2.705466867290004,256.77,4,0,4,0,0
2020-02-26,,临夏,0.8013671206550016,194.67,3,0,3,0,0
2020-02-26,,张掖,4.020668615107509,119.95,2,0,2,0,0
2020-02-26,,金昌,0.7338372710840012,46.41,1,0,1,0,0
2020-02-26,,待明确地区,-1,-1,0,0,0,0,0,0,0,0,1,2,5,4,7,4,220,0,0,0,4,0,2,4,-1,-2,-5,-8,-7,-6,-224
2020-02-26,,武汉,0.8062413439429955,978.54,47441,0,11826,2085,33530
2020-02-26,,孝感,0.8410346497719994,481.45,3501,0,1388,113,2000
2020-02-26,,黄冈,1.6441463076335003,616.21,2904,0,1852,107,945
2020-02-26,,鄂州,0.14848823766800043,104.87,1387,0,543,41,803
2020-02-26,,荆州,1.3174679891195022,569.17,1577,0,822,44,711
2020-02-26,,随州,0.9163804206494958,216.22,1306,0,652,37,617
2020-02-26,,宜昌,2.0000146264559993,405.97,927,0,362,30,535
2020-02-26,,襄阳,1.8830910377785035,550.03,1175,0,653,30,492
2020-02-26,,荆门,1.1651238165199984,287.37,922,0,469,37,416
2020-02-26,,黄石,0.42822827296749916,242.93,1011,0,602,32,377
2020-02-26,,十堰,2.268015857141,334.08,671,0,348,3,320
2020-02-26,,咸宁,0.9080128636579945,246.26,836,0,567,11,258
2020-02-26,,仙桃,0.236260400900501,117.51,575,0,337,19,219
2020-02-26,,天门,0.24602922174950254,141.89,496,0,286,13,197
2020-02-26,,潜江,0.1880588291859997,94.63,196,0,94,9,93
2020-02-26,,恩施州,2.2553218187715105,329.03,251,0,158,4,89
2020-02-26,,神农架林区,0.30684608205349856,7.61,11,0,10,0,1
2020-02-26,,济宁,1.1007525491370038,808.19,258,0,43,0,215
2020-02-26,,济南,0.8069946027799976,681.4,47,0,25,0,22
2020-02-26,,烟台,1.7718148827460014,696.82,47,0,26,0,21
2020-02-26,,青岛,1.4768457484110014,871.51,60,0,39,1,20
2020-02-26,,潍坊,1.616912413494003,908.62,44,0,24,0,20
2020-02-26,,德州,1.0487807650745038,556.82,37,0,15,2,20
2020-02-26,,威海,0.7672836086364958,280.48,38,0,27,0,11
2020-02-26,,淄博,0.6026278706149935,453.06,30,0,18,1,11
2020-02-26,,泰安,0.7744917674454983,549.42,35,0,23,2,10
2020-02-26,,聊城,0.8700188337889954,578.99,38,0,30,0,8
2020-02-26,,日照,0.7080454376865023,280.11,16,0,11,0,5
2020-02-26,,临沂,1.705721540976006,1003.94,49,0,45,0,4
2020-02-26,,滨州,0.9258738253435043,374.85,15,0,12,0,3
2020-02-26,,枣庄,0.4505137748080006,372.93,24,0,22,0,2
2020-02-26,,菏泽,1.2066987455484997,828.78,18,0,17,0,1
2020-02-26,,三亚,0.23808333571750312,68.54,54,0,42,1,11
2020-02-26,,海口,0.23317778111200513,204.62,39,0,28,0,11
2020-02-26,,昌江,0.15077409621850188,22.38,7,0,3,0,4
2020-02-26,,儋州,0.32925306065700005,93.24,15,0,12,1,2
2020-02-26,,万宁,0.22089098851499797,54.56,13,0,11,0,2
2020-02-26,,澄迈,0.2083982186470002,46.72,9,0,6,1,2
2020-02-26,,保亭,0.09962710166199856,14.67,3,0,1,0,2
2020-02-26,,琼海,0.15819697186700296,48.32,6,0,4,1,1
2020-02-26,,东方,0.23149737895350153,40.83,3,0,2,0,1
2020-02-26,,临高,0.1327837556200011,42.79,6,0,6,0,0
2020-02-26,,陵水,0.11868194568350147,32.05,4,0,4,0,0
2020-02-26,,定安,0.10165201064399798,28.46,3,0,2,1,0
2020-02-26,,文昌,0.32748188986099663,53.74,3,0,3,0,0
2020-02-26,,乐东,0.2661026580919982,45.89,2,0,2,0,0
2020-02-26,,琼中,0.23190695270999975,17.41,1,0,1,0,0
2020-02-26,,天津,1.2601887440589987,1293.82,135,0,96,3,36
2020-02-26,,宝坻区,-1,-1,60,0,34,2,24
2020-02-26,,南开区,-1,-1,6,0,2,0,4
2020-02-26,,河东区,-1,-1,15,0,11,1,3
2020-02-26,,北辰区,-1,-1,6,0,3,0,3
2020-02-26,,宁河区,-1,-1,4,0,1,0,3
2020-02-26,,河北区,-1,-1,12,0,10,0,2
2020-02-26,,和平区,-1,-1,6,0,5,0,1
2020-02-26,,外地来津人员,-1,-1,6,0,5,0,1
2020-02-26,,东丽区,-1,-1,4,0,4,0,0
2020-02-26,,河西区,-1,-1,4,0,4,0,0
2020-02-26,,西青区,-1,-1,4,0,4,0,0
2020-02-26,,滨海新区,-1,-1,3,0,3,0,0
2020-02-26,,武清区,-1,-1,2,0,2,0,0
2020-02-26,,红桥区,-1,-1,2,0,2,0,0
2020-02-26,,津南区,-1,-1,1,0,1,0,0
2020-02-26,,信阳,1.8063222310380052,610.87,274,0,219,2,53
2020-02-26,,郑州,0.7436224701159972,862.65,157,0,124,0,33
2020-02-26,,南阳,2.560365251078001,1026.3,155,0,129,3,23
2020-02-26,,周口,1.1653918402784944,895.32,76,0,56,0,20
2020-02-26,,驻马店,1.4540129104849968,723.07,139,0,126,0,13
2020-02-26,,平顶山,0.7689777367460003,490.44,58,0,44,1,13
2020-02-26,,安阳,0.734454433476996,517.28,53,0,43,0,10
2020-02-26,,漯河,0.2624676266980011,254.41,35,0,25,0,10
2020-02-26,,开封,0.6149629086720005,467.62,26,0,16,0,10
2020-02-26,,商丘,1.0476055076755006,736.25,91,0,80,3,8
2020-02-26,,许昌,0.4862347905985042,430.72,39,0,32,0,7
2020-02-26,,濮阳,0.419488123707002,359.85,17,0,10,0,7
2020-02-26,,洛阳,1.4903102682595049,654.95,31,0,24,1,6
2020-02-26,,新乡,0.8167292759264962,570.78,57,0,49,3,5
2020-02-26,,鹤壁,0.21324807764649992,156.91,19,0,15,0,4
2020-02-26,,焦作,0.5846726850570001,353.99,32,0,28,1,3
2020-02-26,,济源,-1,-1,5,0,3,0,2
2020-02-26,,三门峡,0.9729644635124955,223.39,7,0,6,1,0
2020-02-26,,深圳,0.248247423231,1035.79,417,0,262,3,152
2020-02-26,,广州,0.6469918438460005,1270.08,346,0,222,1,123
2020-02-26,,东莞,0.2182080035469986,822.02,97,0,40,1,56
2020-02-26,,佛山,0.33384726100150036,719.43,84,0,36,0,48
2020-02-26,,珠海,0.4425482619165006,156.02,98,0,59,1,38
2020-02-26,,江门,1.0185152855954962,444.89,23,0,11,0,12
2020-02-26,,中山,0.1619640380069983,312.09,66,0,55,0,11
2020-02-26,,惠州,1.0815242989990015,459.7,62,0,52,0,10
2020-02-26,,湛江,1.3880598169125022,699.33,22,0,14,0,8
2020-02-26,,茂名,1.0471913485020006,581.78,14,0,7,0,7
2020-02-26,,肇庆,1.3205938088554963,391.81,19,0,13,1,5
2020-02-26,,梅州,1.4134977831709985,424.01,16,0,12,0,4
2020-02-26,,阳江,0.8144016433255046,242.18,14,0,10,0,4
2020-02-26,,汕头,0.2916859417624988,539.1,25,0,22,0,3
2020-02-26,,韶关,1.6478486001969945,282.66,10,0,7,0,3
2020-02-26,,揭阳,0.49869732582999865,587.7,8,0,5,0,3
2020-02-26,,汕尾,0.5330772671164967,293.57,5,0,4,0,1
2020-02-26,,潮州,0.2973764374529967,266.98,5,0,4,0,1
2020-02-26,,清远,1.6904956149425052,369.84,12,0,12,0,0
2020-02-26,,河源,1.3898848611100032,295.3,4,0,4,0,0
2020-02-26,,温州,1.4495038210134883,912.21,504,0,354,1,149
2020-02-26,,台州,1.1963781495364953,596.88,146,0,101,0,45
2020-02-26,,宁波,1.2360499746855056,760.57,157,0,122,0,35
2020-02-26,,省十里丰监狱,-1,-1,36,0,3,0,33
2020-02-26,,杭州,1.576297902280001,870.04,169,0,139,0,30
2020-02-26,,嘉兴,0.5530864839019942,450.17,45,0,30,0,15
2020-02-26,,金华,1.0131651361780083,536.16,55,0,43,0,12
2020-02-26,,绍兴,0.7713904373389949,491.22,42,0,30,0,12
2020-02-26,,舟山,1.2300514719260116,112.13,10,0,6,0,4
2020-02-26,,丽水,1.5881297976215025,211.7,17,0,14,0,3
2020-02-26,,衢州,0.818557118635503,212.27,14,0,11,0,3
2020-02-26,,湖州,0.5493695484839975,289.35,10,0,7,0,3
2020-02-26,,哈尔滨,6.125849508329008,1063.6,198,0,77,3,118
2020-02-26,,鸡西,2.5951720613914993,186.22,46,0,22,0,24
2020-02-26,,双鸭山,2.5900156896994977,146.26,52,0,28,3,21
2020-02-26,,齐齐哈尔,5.060926421658509,536.7,43,0,26,1,16
2020-02-26,,大庆,2.473642073627001,290.45,26,0,12,1,13
2020-02-26,,绥化,4.12071732358151,541.64,47,0,35,4,8
2020-02-26,,七台河,0.7195899007434952,92.04,17,0,11,0,6
2020-02-26,,牡丹江,4.393969358759507,279.87,14,0,8,0,6
2020-02-26,,黑河,8.263022630529491,167.39,14,0,9,0,5
2020-02-26,,鹤岗,1.7530012561344945,105.87,5,0,4,0,1
2020-02-26,,伊春,3.9424202262624957,114.81,1,0,0,0,1
2020-02-26,,佳木斯,3.8915782083295003,255.21,15,0,15,0,0
2020-02-26,,大兴安岭,8.533878235064,51.16,2,0,2,0,0
2020-02-26,,泉州,1.1190011779989992,812.85,47,0,23,0,24
2020-02-26,,莆田,0.48074749851548787,277.85,55,0,36,0,19
2020-02-26,,南平,2.399761208545994,264.55,20,0,12,0,8
2020-02-26,,三明,2.075136110624997,250.34,14,0,8,0,6
2020-02-26,,福州,1.4951950843925017,711.54,71,0,65,1,5
2020-02-26,,厦门,0.1675914108190039,353.13,35,0,30,0,5
2020-02-26,,漳州,1.2856846996800129,481.0,20,0,15,0,5
2020-02-26,,宁德,1.5133104594024984,282.2,26,0,23,0,3
2020-02-26,,龙岩,1.7074158062009983,255.95,6,0,6,0,0
2020-02-26,,唐山,1.5434797901170012,757.73,58,0,36,1,21
2020-02-26,,沧州,1.4861333201364904,713.41,48,0,35,3,10
2020-02-26,,石家庄,1.446633158582498,1016.38,29,0,22,0,7
2020-02-26,,张家口,3.932375299568003,434.55,35,0,32,0,3
2020-02-26,,邯郸,1.2127456251975053,917.47,32,0,29,0,3
2020-02-26,,秦皇岛,0.9330899534014897,298.76,10,0,8,1,1
2020-02-26,,保定,2.3095725617825056,1119.44,32,0,32,0,0
2020-02-26,,廊坊,0.6674507153039924,435.88,30,0,30,0,0
2020-02-26,,邢台,1.2648502546879965,710.41,23,0,22,1,0
2020-02-26,,衡水,0.9025139755064983,434.08,8,0,8,0,0
2020-02-26,,承德,4.246303427033511,347.32,7,0,7,0,0
2020-02-26,,合肥,0.7141859100130005,570.2,174,0,127,1,46
2020-02-26,,阜阳,0.9757776378619952,760.0,155,0,112,0,43
2020-02-26,,蚌埠,0.5758134591680005,316.4,160,0,119,5,36
2020-02-26,,六安,1.7548455696660021,561.2,69,0,46,0,23
2020-02-26,,亳州,0.8270503782710025,485.1,108,0,89,0,19
2020-02-26,,马鞍山,0.16143111103550198,136.6,38,0,25,0,13
2020-02-26,,宿州,0.9683972246279956,535.3,41,0,30,0,11
2020-02-26,,安庆,1.4469175857445025,531.1,83,0,74,0,9
2020-02-26,,淮南,0.203485260952501,233.4,27,0,18,0,9
2020-02-26,,铜陵,0.10055030118799782,72.4,29,0,22,0,7
2020-02-26,,芜湖,0.31862525966850364,226.3,33,0,28,0,5
2020-02-26,,淮北,0.2658799498955006,211.4,27,0,22,0,5
2020-02-26,,池州,0.785251059631998,140.3,17,0,13,0,4
2020-02-26,,滁州,1.2947145401510003,393.8,13,0,9,0,4
2020-02-26,,黄山,0.9039941829220032,135.9,9,0,6,0,3
2020-02-26,,宣城,1.1576498477834996,253.3,6,0,4,0,2
2020-02-26,,长沙,1.0862472032709996,704.41,242,0,159,2,81
2020-02-26,,岳阳,1.374898436918008,547.79,156,0,106,1,49
2020-02-26,,株洲,1.0239977089955,385.56,80,0,54,0,26
2020-02-26,,娄底,0.7416389596055009,378.56,76,0,57,0,19
2020-02-26,,常德,1.688557893216001,571.72,82,0,67,0,15
2020-02-26,,邵阳,1.8866325375369994,707.18,102,0,90,1,11
2020-02-26,,衡阳,1.3892263011195012,714.15,48,0,38,0,10
2020-02-26,,湘潭,0.4589445278504992,274.86,36,0,29,0,7
2020-02-26,,郴州,1.7393015396425038,458.18,39,0,33,0,6
2020-02-26,,益阳,1.1361539874714979,431.31,59,0,56,0,3
2020-02-26,,永州,2.0047602805180005,518.02,43,0,41,0,2
2020-02-26,,怀化,2.5197916401190015,474.19,40,0,40,0,0
2020-02-26,,湘西自治州,1.4278859414970004,254.78,8,0,8,0,0
2020-02-26,,张家界,0.8879335664680019,147.65,5,0,5,0,0
2020-02-26,,成都,1.134401803191499,1404.76,143,0,81,3,59
2020-02-26,,甘孜州,14.115807097912997,109.19,71,0,18,0,53
2020-02-26,,达州,1.5731934669675045,546.81,42,0,19,0,23
2020-02-26,,南充,1.1809376967214984,627.86,39,0,23,0,16
2020-02-26,,巴中,1.1742044561829978,328.38,24,0,11,0,13
2020-02-26,,广安,0.5964227038760007,320.55,30,0,20,0,10
2020-02-26,,德阳,0.5620572541579985,361.58,18,0,9,0,9
2020-02-26,,绵阳,1.9298029414195,461.39,22,0,14,0,8
2020-02-26,,泸州,1.1282759738965005,421.84,24,0,17,0,7
2020-02-26,,内江,0.499990622773,370.28,22,0,15,0,7
2020-02-26,,遂宁,0.5006303262270013,325.26,17,0,13,0,4
2020-02-26,,凉山州,5.509447190631998,453.28,13,0,9,0,4
2020-02-26,,宜宾,1.224876962325,447.2,12,0,10,0,2
2020-02-26,,眉山,0.6724053871495027,295.05,8,0,6,0,2
2020-02-26,,资阳,0.7463513648824996,366.51,4,0,2,0,2
2020-02-26,,自贡,0.4057862597929994,267.89,9,0,8,0,1
2020-02-26,,雅安,1.4076354777390019,150.73,7,0,6,0,1
2020-02-26,,攀枝花,0.6748380059720019,121.41,16,0,16,0,0
2020-02-26,,广元,1.5631298602035046,248.41,6,0,6,0,0
2020-02-26,,乐山,1.1888597836745,323.58,3,0,3,0,0
2020-02-26,,阿坝州,7.934765116265499,89.87,1,0,1,0,0
2020-02-26,,南京,0.6285515887520032,800.47,93,0,58,0,35
2020-02-26,,苏州,0.8204010219355032,1046.6,87,0,59,0,28
2020-02-26,,连云港,0.8159310723420018,439.39,48,0,27,0,21
2020-02-26,,淮安,0.9680673242109932,479.99,66,0,50,0,16
2020-02-26,,无锡,0.43760370069250126,637.26,55,0,42,0,13
2020-02-26,,徐州,1.0985177138880005,858.05,79,0,69,0,10
2020-02-26,,泰州,0.5569458937815011,461.86,37,0,28,0,9
2020-02-26,,扬州,0.6394090231379996,445.98,23,0,17,0,6
2020-02-26,,南通,1.0110616126635088,728.28,40,0,35,0,5
2020-02-26,,常州,0.4152884948464995,459.2,51,0,48,0,3
2020-02-26,,盐城,1.6632054867270014,726.02,27,0,24,0,3
2020-02-26,,宿迁,0.8315742696999976,471.56,13,0,11,0,2
2020-02-26,,镇江,0.3662685055269993,311.34,12,0,10,0,2
2020-02-26,,重庆,7.708797246292492,2884.62,576,0,373,6,197
2020-02-26,,万州区,-1,-1,118,0,75,4,39
2020-02-26,,江北区,-1,-1,28,0,14,0,14
2020-02-26,,潼南区,-1,-1,18,0,7,0,11
2020-02-26,,綦江区,-1,-1,23,0,13,0,10
2020-02-26,,垫江县,-1,-1,20,0,10,0,10
2020-02-26,,长寿区,-1,-1,22,0,13,0,9
2020-02-26,,奉节县,-1,-1,22,0,13,0,9
2020-02-26,,合川区,-1,-1,23,0,15,0,8
2020-02-26,,九龙坡区,-1,-1,21,0,12,1,8
2020-02-26,,两江新区,-1,-1,17,0,10,0,7
2020-02-26,,南岸区,-1,-1,15,0,8,0,7
2020-02-26,,沙坪坝区,-1,-1,9,0,2,0,7
2020-02-26,,渝北区,-1,-1,17,0,11,0,6
2020-02-26,,铜梁区,-1,-1,10,0,4,0,6
2020-02-26,,丰都县,-1,-1,10,0,4,0,6
2020-02-26,,云阳县,-1,-1,25,0,21,0,4
2020-02-26,,渝中区,-1,-1,20,0,16,0,4
2020-02-26,,石柱县,-1,-1,15,0,11,0,4
2020-02-26,,大足区,-1,-1,14,0,10,0,4
2020-02-26,,忠县,-1,-1,21,0,18,0,3
2020-02-26,,巫溪县,-1,-1,14,0,11,0,3
2020-02-26,,荣昌区,-1,-1,9,0,6,0,3
2020-02-26,,巴南区,-1,-1,6,0,3,0,3
2020-02-26,,涪陵区,-1,-1,5,0,2,0,3
2020-02-26,,开州区,-1,-1,21,0,18,1,2
2020-02-26,,巫山县,-1,-1,10,0,8,0,2
2020-02-26,,璧山区,-1,-1,9,0,8,0,1
2020-02-26,,大渡口区,-1,-1,7,0,6,0,1
2020-02-26,,彭水县,-1,-1,2,0,1,0,1
2020-02-26,,酉阳,-1,-1,1,0,0,0,1
2020-02-26,,万盛经开区,-1,-1,1,0,0,0,1
2020-02-26,,永川区,-1,-1,5,0,5,0,0
2020-02-26,,江津区,-1,-1,4,0,4,0,0
2020-02-26,,梁平区,-1,-1,4,0,4,0,0
2020-02-26,,高新区,-1,-1,4,0,4,0,0
2020-02-26,,黔江区,-1,-1,2,0,2,0,0
2020-02-26,,城口县,-1,-1,2,0,2,0,0
2020-02-26,,武隆区,-1,-1,1,0,1,0,0
2020-02-26,,秀山县,-1,-1,1,0,1,0,0
2020-02-26,,昭通,2.0531379306715007,521.3,25,0,15,0,10
2020-02-26,,昆明,1.8836785114719978,643.2,53,0,48,0,5
2020-02-26,,红河州,-1,-1,9,0,5,0,4
2020-02-26,,曲靖,2.602648463237001,585.5,13,0,10,0,3
2020-02-26,,西双版纳,1.6706045598835002,113.4,15,0,12,1,2
2020-02-26,,玉溪,1.3301567678604986,230.4,14,0,12,1,1
2020-02-26,,大理州,-1,-1,13,0,12,0,1
2020-02-26,,保山,1.7043474102060021,250.6,9,0,8,0,1
2020-02-26,,德宏州,-1,-1,5,0,4,0,1
2020-02-26,,丽江,1.870422593126001,124.5,7,0,7,0,0
2020-02-26,,普洱,3.9023463142550066,254.3,4,0,4,0,0
2020-02-26,,楚雄州,-1,-1,4,0,4,0,0
2020-02-26,,文山州,-1,-1,2,0,2,0,0
2020-02-26,,临沧,2.095454217296998,243.0,1,0,1,0,0
2020-02-26,,上海,0.8780426080414991,2301.91,336,0,272,3,61
2020-02-26,,外地来沪人员,-1,-1,111,0,89,1,21
2020-02-26,,浦东新区,-1,-1,60,0,50,0,10
2020-02-26,,宝山区,-1,-1,21,0,12,0,9
2020-02-26,,静安区,-1,-1,16,0,12,0,4
2020-02-26,,徐汇区,-1,-1,18,0,15,0,3
2020-02-26,,松江区,-1,-1,14,0,11,0,3
2020-02-26,,嘉定区,-1,-1,9,0,6,0,3
2020-02-26,,闵行区,-1,-1,19,0,17,0,2
2020-02-26,,普陀区,-1,-1,11,0,9,0,2
2020-02-26,,杨浦区,-1,-1,9,0,7,0,2
2020-02-26,,奉贤区,-1,-1,9,0,7,0,2
2020-02-26,,黄浦区,-1,-1,6,0,4,0,2
2020-02-26,,崇明区,-1,-1,4,0,2,0,2
2020-02-26,,虹口区,-1,-1,7,0,6,0,1
2020-02-26,,青浦区,-1,-1,6,0,5,0,1
2020-02-26,,长宁区,-1,-1,13,0,13,0,0
2020-02-26,,金山区,-1,-1,3,0,3,0,0
2020-02-26,,银川,0.7520282265240023,199.31,33,0,30,0,3
2020-02-26,,吴忠,1.609251224265504,127.38,28,0,25,0,3
2020-02-26,,固原,1.1248352288439982,122.82,5,0,5,0,0
2020-02-26,,中卫,1.3298011732364938,108.08,3,0,3,0,0
2020-02-26,,宁东,-1,-1,1,0,1,0,0
2020-02-26,,石嘴山,0.4159827066904967,72.55,1,0,1,0,0
2020-02-26,,九江,1.7491073419035064,472.88,118,0,71,0,47
2020-02-26,,南昌,0.6831608252979983,504.26,229,0,187,0,42
2020-02-26,,上饶,2.104325891374505,657.97,123,0,101,0,22
2020-02-26,,新余,0.2902023827720005,113.89,130,0,111,0,19
2020-02-26,,赣州,3.5403323056869973,836.84,76,0,57,1,18
2020-02-26,,宜春,1.7166022616724972,541.96,106,0,90,0,16
2020-02-26,,萍乡,0.3498326164414998,185.45,33,0,18,0,15
2020-02-26,,抚州,1.7183845499360049,391.23,72,0,58,0,14
2020-02-26,,吉安,2.2975841324009996,481.03,22,0,13,0,9
2020-02-26,,鹰潭,0.3276724127320001,112.49,18,0,10,0,8
2020-02-26,,景德镇,0.48908868519549653,158.75,6,0,3,0,3
2020-02-26,,赣江新区,-1,-1,1,0,0,0,1
2020-02-26,,北京,1.7347041510244987,1961.2,400,0,235,4,161
2020-02-26,,海淀区,-1,-1,62,0,0,0,62
2020-02-26,,朝阳区,-1,-1,61,0,0,0,61
2020-02-26,,西城区,-1,-1,53,0,0,0,53
2020-02-26,,丰台区,-1,-1,41,0,3,0,38
2020-02-26,,大兴区,-1,-1,39,0,2,0,37
2020-02-26,,昌平区,-1,-1,29,0,0,0,29
2020-02-26,,外地来京人员,-1,-1,25,0,2,0,23
2020-02-26,,通州区,-1,-1,19,0,1,0,18
2020-02-26,,房山区,-1,-1,16,0,3,0,13
2020-02-26,,石景山区,-1,-1,14,0,1,0,13
2020-02-26,,东城区,-1,-1,13,0,1,0,12
2020-02-26,,顺义区,-1,-1,10,0,0,0,10
2020-02-26,,怀柔区,-1,-1,7,0,0,0,7
2020-02-26,,密云区,-1,-1,7,0,0,0,7
2020-02-26,,门头沟区,-1,-1,3,0,2,0,1
2020-02-26,,延庆区,-1,-1,1,0,0,0,1
2020-02-26,,大连,2.319433387931495,669.04,19,0,11,0,8
2020-02-26,,葫芦岛,1.1951573086964946,262.35,12,0,6,1,5
2020-02-26,,鞍山,0.9897154053655027,364.59,4,0,0,0,4
2020-02-26,,阜新,1.1331284515015012,181.93,8,0,5,0,3
2020-02-26,,铁岭,1.4236153921955053,271.77,7,0,4,0,3
2020-02-26,,朝阳,2.122034206734496,304.46,6,0,3,0,3
2020-02-26,,沈阳,1.3981715383095008,810.62,28,0,26,0,2
2020-02-26,,盘锦,0.414550974812002,139.25,11,0,9,0,2
2020-02-26,,锦州,1.0979171950555036,312.65,12,0,11,0,1
2020-02-26,,丹东,1.6499481981565005,244.47,7,0,6,0,1
2020-02-26,,本溪,0.902586666504503,170.95,3,0,3,0,0
2020-02-26,,辽阳,0.5097820268214993,185.88,3,0,3,0,0
2020-02-26,,营口,0.6238320176860037,242.85,1,0,1,0,0
2020-02-27,,信阳,1.8063222310380052,610.87,274,0,227,2,45
2020-02-27,,郑州,0.7436224701159972,862.65,157,0,126,0,31
