日期,温度,湿度,aqi,更新日期
2020-01-01,-14℃,85%,60,2020-01-01 00:10:00
2020-01-01,-15℃,85%,65,2020-01-01 01:01:00
2020-01-01,-15℃,87%,72,2020-01-01 02:09:00
2020-01-01,-16℃,84%,85,2020-01-01 03:00:00
2020-01-01,-17℃,84%,99,2020-01-01 04:05:00
2020-01-01,-17℃,83%,104,2020-01-01 04:58:00
2020-01-01,-17℃,82%,110,2020-01-01 07:07:00
2020-01-01,-17℃,84%,110,2020-01-01 08:00:00
2020-01-01,-14℃,80%,114,2020-01-01 09:10:00
2020-01-01,-13℃,75%,128,2020-01-01 09:46:00
2020-01-01,-9℃,64%,165,2020-01-01 11:05:00
2020-01-01,-7℃,55%,208,2020-01-01 12:01:00
2020-01-01,-6℃,51%,162,2020-01-01 13:03:00
2020-01-01,-6℃,45%,118,2020-01-01 14:09:00
2020-01-01,-6℃,42%,94,2020-01-01 14:57:00
2020-01-01,-7℃,43%,85,2020-01-01 15:57:00
2020-01-01,-8℃,46%,67,2020-01-01 17:04:00
2020-01-01,-9℃,44%,60,2020-01-01 18:05:00
2020-01-01,-13℃,60%,72,2020-01-01 19:10:00
2020-01-01,-15℃,67%,83,2020-01-01 19:50:00
2020-01-01,-16℃,72%,93,2020-01-01 21:06:00
2020-01-01,-17℃,76%,107,2020-01-01 21:48:00
2020-01-01,-18℃,78%,113,2020-01-01 22:51:00
2020-01-02,-19℃,81%,124,2020-01-02 00:11:00
2020-01-02,-19℃,81%,145,2020-01-02 01:02:00
2020-01-02,-19℃,82%,196,2020-01-02 02:03:00
2020-01-02,-18℃,85%,195,2020-01-02 02:54:00
2020-01-02,-16℃,84%,206,2020-01-02 03:47:00
2020-01-02,-17℃,84%,210,2020-01-02 05:08:00
2020-01-02,-17℃,83%,213,2020-01-02 05:51:00
2020-01-02,-17℃,83%,204,2020-01-02 07:08:00
2020-01-02,-17℃,84%,195,2020-01-02 07:50:00
2020-01-02,-15℃,81%,203,2020-01-02 09:10:00
2020-01-02,-12℃,74%,219,2020-01-02 10:00:00
2020-01-02,-9℃,61%,244,2020-01-02 11:01:00
2020-01-02,-7℃,59%,249,2020-01-02 12:04:00
2020-01-02,-4℃,51%,248,2020-01-02 12:57:00
2020-01-02,-4℃,39%,226,2020-01-02 13:46:00
2020-01-02,-4℃,43%,212,2020-01-02 15:10:00
2020-01-02,-5℃,46%,178,2020-01-02 15:55:00
2020-01-02,-8℃,56%,140,2020-01-02 17:14:00
2020-01-02,-9℃,63%,149,2020-01-02 17:45:00
2020-01-02,-13℃,80%,195,2020-01-02 20:08:00
2020-01-02,-14℃,83%,230,2020-01-02 21:05:00
2020-01-02,-15℃,84%,248,2020-01-02 22:04:00
2020-01-02,-15℃,84%,257,2020-01-02 22:56:00
2020-01-03,-11℃,85%,256,2020-01-03 00:10:00
2020-01-03,-16℃,84%,240,2020-01-03 01:07:00
2020-01-03,-16℃,85%,223,2020-01-03 02:04:00
2020-01-03,-17℃,84%,207,2020-01-03 02:58:00
2020-01-03,-17℃,81%,195,2020-01-03 04:04:00
2020-01-03,-17℃,83%,180,2020-01-03 05:05:00
2020-01-03,-15℃,84%,173,2020-01-03 06:08:00
2020-01-03,-15℃,81%,168,2020-01-03 07:05:00
2020-01-03,-14℃,79%,173,2020-01-03 08:08:00
2020-01-03,-13℃,77%,179,2020-01-03 08:50:00
2020-01-03,-11℃,68%,196,2020-01-03 09:45:00
2020-01-03,-7℃,54%,210,2020-01-03 10:46:00
2020-01-03,-4℃,46%,200,2020-01-03 11:49:00
2020-01-03,-2℃,49%,183,2020-01-03 12:58:00
2020-01-03,-2℃,55%,173,2020-01-03 13:58:00
2020-01-03,-2℃,58%,168,2020-01-03 15:06:00
2020-01-03,-3℃,62%,172,2020-01-03 16:05:00
2020-01-03,-5℃,69%,166,2020-01-03 17:04:00
2020-01-03,-6℃,70%,179,2020-01-03 17:59:00
2020-01-03,-8℃,79%,199,2020-01-03 18:53:00
2020-01-03,-11℃,84%,213,2020-01-03 19:53:00
2020-01-03,-11℃,87%,244,2020-01-03 20:56:00
2020-01-03,-13℃,87%,249,2020-01-03 22:08:00
2020-01-03,-13℃,88%,259,2020-01-03 22:55:00
2020-01-04,-14℃,86%,254,2020-01-04 00:01:00
2020-01-04,-14℃,87%,255,2020-01-04 01:07:00
2020-01-04,-14℃,86%,251,2020-01-04 02:07:00
2020-01-04,-13℃,89%,257,2020-01-04 02:47:00
2020-01-04,-15℃,85%,242,2020-01-04 04:07:00
2020-01-04,-15℃,85%,240,2020-01-04 04:50:00
2020-01-04,-15℃,85%,237,2020-01-04 06:07:00
2020-01-04,-15℃,86%,237,2020-01-04 06:48:00
2020-01-04,-14℃,88%,242,2020-01-04 08:05:00
2020-01-04,-11℃,88%,246,2020-01-04 09:09:00
2020-01-04,-8℃,76%,264,2020-01-04 10:06:00
2020-01-04,-5℃,65%,281,2020-01-04 10:59:00
2020-01-04,-1℃,55%,288,2020-01-04 12:05:00
2020-01-04,-1℃,50%,226,2020-01-04 12:42:00
2020-01-04,-1℃,54%,142,2020-01-04 13:57:00
2020-01-04,-2℃,54%,112,2020-01-04 14:51:00
2020-01-04,-3℃,61%,108,2020-01-04 15:53:00
2020-01-04,-5℃,72%,124,2020-01-04 17:03:00
2020-01-04,-8℃,79%,132,2020-01-04 17:59:00
2020-01-04,-9℃,83%,132,2020-01-04 18:58:00
2020-01-04,-10℃,86%,142,2020-01-04 19:54:00
2020-01-04,-12℃,88%,150,2020-01-04 21:03:00
2020-01-04,-12℃,88%,149,2020-01-04 22:04:00
2020-01-04,-13℃,87%,166,2020-01-04 22:58:00
2020-01-05,-14℃,86%,213,2020-01-05 00:49:00
2020-01-05,-14℃,88%,221,2020-01-05 02:03:00
2020-01-05,-13℃,88%,219,2020-01-05 02:59:00
2020-01-05,-14℃,87%,226,2020-01-05 04:03:00
2020-01-05,-13℃,88%,225,2020-01-05 05:03:00
2020-01-05,-13℃,87%,238,2020-01-05 06:08:00
2020-01-05,-14℃,86%,236,2020-01-05 06:59:00
2020-01-05,-13℃,88%,231,2020-01-05 07:56:00
2020-01-05,-12℃,87%,231,2020-01-05 08:43:00
2020-01-05,-9℃,80%,250,2020-01-05 09:57:00
2020-01-05,-6℃,67%,274,2020-01-05 11:04:00
2020-01-05,-3℃,61%,271,2020-01-05 11:49:00
2020-01-05,-1℃,55%,234,2020-01-05 12:56:00
2020-01-05,0℃,50%,200,2020-01-05 14:05:00
2020-01-05,0℃,48%,145,2020-01-05 15:03:00
2020-01-05,0℃,53%,99,2020-01-05 15:50:00
2020-01-05,-3℃,64%,92,2020-01-05 16:54:00
2020-01-05,-6℃,73%,98,2020-01-05 18:02:00
2020-01-05,-6℃,77%,113,2020-01-05 19:06:00
2020-01-05,-7℃,78%,133,2020-01-05 20:10:00
2020-01-05,-7℃,78%,150,2020-01-05 21:02:00
2020-01-05,-7℃,81%,153,2020-01-05 22:05:00
2020-01-05,-6℃,77%,166,2020-01-05 23:07:00
2020-01-06,-7℃,79%,170,2020-01-06 01:07:00
2020-01-06,-7℃,78%,163,2020-01-06 01:54:00
2020-01-06,-6℃,76%,153,2020-01-06 02:59:00
2020-01-06,-6℃,74%,142,2020-01-06 04:02:00
2020-01-06,-5℃,74%,127,2020-01-06 04:56:00
2020-01-06,-5℃,74%,115,2020-01-06 06:09:00
2020-01-06,-5℃,75%,112,2020-01-06 07:03:00
2020-01-06,-5℃,74%,105,2020-01-06 07:55:00
2020-01-06,-3℃,72%,112,2020-01-06 09:07:00
2020-01-06,-1℃,66%,118,2020-01-06 10:09:00
2020-01-06,0℃,61%,132,2020-01-06 10:43:00
2020-01-06,0℃,78%,124,2020-01-06 11:57:00
2020-01-06,0℃,86%,94,2020-01-06 12:52:00
2020-01-06,0℃,76%,46,2020-01-06 14:10:00
2020-01-06,0℃,77%,40,2020-01-06 15:04:00
2020-01-06,0℃,77%,40,2020-01-06 15:45:00
2020-01-06,0℃,81%,40,2020-01-06 16:59:00
2020-01-06,0℃,84%,49,2020-01-06 18:10:00
2020-01-06,0℃,83%,53,2020-01-06 19:05:00
2020-01-06,0℃,85%,62,2020-01-06 19:56:00
2020-01-06,0℃,84%,73,2020-01-06 21:03:00
2020-01-06,0℃,85%,70,2020-01-06 21:56:00
2020-01-06,0℃,88%,72,2020-01-06 23:06:00
2020-01-07,0℃,91%,98,2020-01-07 00:56:00
2020-01-07,0℃,93%,112,2020-01-07 02:03:00
2020-01-07,-1℃,81%,119,2020-01-07 03:01:00
2020-01-07,-3℃,66%,175,2020-01-07 03:45:00
2020-01-07,-5℃,67%,156,2020-01-07 05:03:00
2020-01-07,-7℃,65%,125,2020-01-07 06:10:00
2020-01-07,-7℃,62%,103,2020-01-07 07:06:00
2020-01-07,-8℃,64%,87,2020-01-07 07:47:00
2020-01-07,-8℃,65%,88,2020-01-07 09:01:00
2020-01-07,-8℃,68%,103,2020-01-07 10:09:00
2020-01-07,-7℃,66%,182,2020-01-07 11:16:00
2020-01-07,-7℃,65%,182,2020-01-07 12:00:00
2020-01-07,-7℃,65%,190,2020-01-07 12:51:00
2020-01-07,-7℃,64%,169,2020-01-07 14:01:00
2020-01-07,-7℃,66%,175,2020-01-07 14:55:00
2020-01-07,-7℃,70%,183,2020-01-07 15:58:00
2020-01-07,-8℃,73%,169,2020-01-07 17:02:00
2020-01-07,-9℃,71%,156,2020-01-07 17:53:00
2020-01-07,-9℃,74%,163,2020-01-07 19:08:00
2020-01-07,-10℃,76%,159,2020-01-07 20:08:00
2020-01-07,-10℃,82%,155,2020-01-07 21:09:00
2020-01-07,-10℃,83%,142,2020-01-07 21:51:00
2020-01-07,-10℃,82%,124,2020-01-07 23:01:00
2020-01-08,-10℃,81%,118,2020-01-08 00:00:00
2020-01-08,-10℃,80%,102,2020-01-08 01:10:00
2020-01-08,-10℃,81%,88,2020-01-08 02:06:00
2020-01-08,-10℃,82%,87,2020-01-08 03:00:00
2020-01-08,-9℃,82%,74,2020-01-08 04:02:00
2020-01-08,-8℃,82%,69,2020-01-08 04:58:00
2020-01-08,-8℃,81%,67,2020-01-08 05:58:00
2020-01-08,-9℃,80%,65,2020-01-08 06:57:00
2020-01-08,-8℃,79%,69,2020-01-08 07:59:00
2020-01-08,-8℃,80%,72,2020-01-08 09:01:00
2020-01-08,-7℃,77%,69,2020-01-08 09:59:00
2020-01-08,-7℃,75%,68,2020-01-08 10:57:00
2020-01-08,-7℃,73%,65,2020-01-08 11:52:00
2020-01-08,-6℃,74%,62,2020-01-08 13:00:00
2020-01-08,-6℃,72%,57,2020-01-08 13:56:00
2020-01-08,-6℃,71%,54,2020-01-08 14:53:00
2020-01-08,-6℃,73%,54,2020-01-08 16:03:00
2020-01-08,-6℃,73%,44,2020-01-08 16:53:00
2020-01-08,-6℃,73%,38,2020-01-08 18:09:00
2020-01-08,-6℃,74%,41,2020-01-08 18:58:00
2020-01-08,-6℃,73%,46,2020-01-08 19:58:00
2020-01-08,-6℃,73%,45,2020-01-08 20:27:00
2020-01-08,-7℃,75%,40,2020-01-08 21:57:00
2020-01-08,-7℃,83%,42,2020-01-08 23:08:00
2020-01-09,-7℃,85%,55,2020-01-09 00:52:00
2020-01-09,-7℃,85%,68,2020-01-09 01:57:00
2020-01-09,-7℃,84%,79,2020-01-09 02:56:00
2020-01-09,-7℃,85%,87,2020-01-09 04:05:00
2020-01-09,-7℃,79%,84,2020-01-09 05:01:00
2020-01-09,-7℃,80%,84,2020-01-09 05:57:00
2020-01-09,-9℃,86%,83,2020-01-09 07:01:00
2020-01-09,-9℃,90%,87,2020-01-09 07:58:00
2020-01-09,-7℃,81%,99,2020-01-09 08:59:00
2020-01-09,-5℃,70%,113,2020-01-09 09:56:00
2020-01-09,-5℃,66%,115,2020-01-09 11:08:00
2020-01-09,-4℃,62%,113,2020-01-09 11:59:00
2020-01-09,-3℃,59%,98,2020-01-09 12:58:00
2020-01-09,-3℃,58%,84,2020-01-09 14:07:00
2020-01-09,-3℃,59%,72,2020-01-09 15:01:00
2020-01-09,-4℃,63%,68,2020-01-09 16:03:00
2020-01-09,-6℃,71%,77,2020-01-09 16:56:00
2020-01-09,-7℃,78%,77,2020-01-09 17:56:00
2020-01-09,-9℃,86%,113,2020-01-09 19:05:00
2020-01-09,-11℃,88%,134,2020-01-09 20:02:00
2020-01-09,-11℃,89%,148,2020-01-09 21:04:00
2020-01-09,-12℃,88%,165,2020-01-09 22:05:00
2020-01-09,-13℃,88%,163,2020-01-09 23:01:00
2020-01-10,-15℃,86%,169,2020-01-10 00:59:00
2020-01-10,-15℃,85%,175,2020-01-10 01:54:00
2020-01-10,-16℃,85%,163,2020-01-10 03:10:00
2020-01-10,-14℃,89%,158,2020-01-10 04:04:00
2020-01-10,-14℃,87%,135,2020-01-10 05:10:00
2020-01-10,-14℃,86%,129,2020-01-10 06:02:00
2020-01-10,-14℃,87%,133,2020-01-10 07:00:00
2020-01-10,-14℃,86%,133,2020-01-10 08:05:00
2020-01-10,-13℃,86%,137,2020-01-10 08:43:00
2020-01-10,-10℃,87%,153,2020-01-10 10:05:00
2020-01-10,-8℃,83%,189,2020-01-10 10:55:00
2020-01-10,-5℃,71%,189,2020-01-10 12:03:00
2020-01-10,-3℃,65%,178,2020-01-10 13:02:00
2020-01-10,-2℃,62%,155,2020-01-10 13:47:00
2020-01-10,-2℃,58%,135,2020-01-10 14:34:00
2020-01-10,-2℃,52%,120,2020-01-10 15:52:00
2020-01-10,-4℃,52%,102,2020-01-10 16:55:00
2020-01-10,-7℃,67%,97,2020-01-10 18:06:00
2020-01-10,-9℃,73%,104,2020-01-10 18:50:00
2020-01-10,-11℃,78%,118,2020-01-10 19:52:00
2020-01-10,-12℃,84%,156,2020-01-10 21:06:00
2020-01-10,-13℃,86%,160,2020-01-10 22:02:00
2020-01-10,-13℃,84%,145,2020-01-10 22:57:00
2020-01-11,-15℃,86%,158,2020-01-11 00:53:00
2020-01-11,-13℃,73%,119,2020-01-11 01:52:00
2020-01-11,-9℃,56%,78,2020-01-11 02:58:00
2020-01-11,-9℃,54%,57,2020-01-11 04:10:00
2020-01-11,-10℃,58%,45,2020-01-11 04:48:00
2020-01-11,-15℃,74%,40,2020-01-11 06:10:00
2020-01-11,-17℃,78%,36,2020-01-11 06:53:00
2020-01-11,-16℃,84%,39,2020-01-11 08:01:00
2020-01-11,-12℃,70%,45,2020-01-11 09:01:00
2020-01-11,-8℃,56%,62,2020-01-11 10:01:00
2020-01-11,-7℃,48%,69,2020-01-11 10:50:00
2020-01-11,-5℃,47%,55,2020-01-11 12:07:00
2020-01-11,-6℃,48%,50,2020-01-11 12:56:00
2020-01-11,-6℃,49%,42,2020-01-11 14:06:00
2020-01-11,-7℃,49%,39,2020-01-11 14:59:00
2020-01-11,-7℃,49%,35,2020-01-11 15:53:00
2020-01-11,-8℃,52%,37,2020-01-11 16:44:00
2020-01-11,-8℃,56%,48,2020-01-11 17:57:00
2020-01-11,-8℃,57%,70,2020-01-11 19:01:00
2020-01-11,-9℃,61%,82,2020-01-11 20:05:00
2020-01-11,-9℃,61%,95,2020-01-11 20:42:00
2020-01-11,-12℃,64%,94,2020-01-11 22:04:00
2020-01-11,-13℃,74%,92,2020-01-11 22:55:00
2020-01-12,-11℃,81%,94,2020-01-12 01:00:00
2020-01-12,-12℃,82%,93,2020-01-12 02:00:00
2020-01-12,-18℃,82%,97,2020-01-12 03:10:00
2020-01-12,-18℃,85%,97,2020-01-12 04:00:00
2020-01-12,-18℃,84%,107,2020-01-12 05:00:00
2020-01-12,-19℃,82%,119,2020-01-12 06:05:00
2020-01-12,-19℃,82%,137,2020-01-12 07:03:00
2020-01-12,-18℃,84%,163,2020-01-12 07:57:00
2020-01-12,-14℃,83%,190,2020-01-12 09:10:00
2020-01-12,-12℃,70%,189,2020-01-12 10:00:00
2020-01-12,-10℃,68%,172,2020-01-12 10:58:00
2020-01-12,-9℃,64%,137,2020-01-12 12:00:00
2020-01-12,-8℃,53%,109,2020-01-12 13:04:00
2020-01-12,-8℃,49%,79,2020-01-12 13:51:00
2020-01-12,-8℃,48%,58,2020-01-12 14:56:00
2020-01-12,-9℃,51%,49,2020-01-12 16:03:00
2020-01-12,-11℃,55%,44,2020-01-12 17:03:00
2020-01-12,-12℃,58%,42,2020-01-12 18:13:00
2020-01-12,-14℃,68%,42,2020-01-12 19:00:00
2020-01-12,-16℃,75%,46,2020-01-12 20:00:00
2020-01-12,-16℃,79%,57,2020-01-12 21:05:00
2020-01-12,-17℃,81%,69,2020-01-12 22:04:00
2020-01-12,-18℃,82%,84,2020-01-12 23:00:00
2020-01-13,-18℃,83%,99,2020-01-13 00:01:00
2020-01-13,-19℃,82%,89,2020-01-13 01:10:00
2020-01-13,-19℃,82%,87,2020-01-13 01:59:00
2020-01-13,-20℃,81%,84,2020-01-13 03:02:00
2020-01-13,-20℃,81%,82,2020-01-13 03:59:00
2020-01-13,-20℃,81%,82,2020-01-13 04:51:00
2020-01-13,-20℃,80%,89,2020-01-13 06:04:00
2020-01-13,-20℃,81%,92,2020-01-13 07:03:00
2020-01-13,-19℃,82%,100,2020-01-13 07:53:00
2020-01-13,-15℃,85%,119,2020-01-13 08:52:00
2020-01-13,-11℃,65%,135,2020-01-13 09:55:00
2020-01-13,-10℃,57%,142,2020-01-13 10:53:00
2020-01-13,-7℃,51%,125,2020-01-13 11:54:00
2020-01-13,-6℃,45%,94,2020-01-13 12:57:00
2020-01-13,-6℃,47%,72,2020-01-13 14:02:00
2020-01-13,-6℃,43%,56,2020-01-13 14:51:00
2020-01-13,-7℃,37%,46,2020-01-13 15:55:00
2020-01-13,-9℃,46%,37,2020-01-13 16:58:00
2020-01-13,-10℃,53%,46,2020-01-13 18:08:00
2020-01-13,-11℃,57%,68,2020-01-13 18:52:00
2020-01-13,-13℃,63%,78,2020-01-13 20:05:00
2020-01-13,-15℃,70%,92,2020-01-13 20:53:00
2020-01-13,-16℃,76%,108,2020-01-13 21:56:00
2020-01-13,-17℃,80%,105,2020-01-13 22:56:00
2020-01-14,-17℃,82%,108,2020-01-14 00:05:00
2020-01-14,-18℃,78%,98,2020-01-14 01:08:00
2020-01-14,-19℃,80%,90,2020-01-14 01:59:00
2020-01-14,-18℃,84%,85,2020-01-14 03:03:00
2020-01-14,-19℃,81%,98,2020-01-14 04:04:00
2020-01-14,-18℃,83%,115,2020-01-14 04:56:00
2020-01-14,-18℃,82%,128,2020-01-14 06:10:00
2020-01-14,-19℃,80%,149,2020-01-14 07:02:00
2020-01-14,-18℃,81%,169,2020-01-14 07:52:00
2020-01-14,-15℃,74%,162,2020-01-14 09:09:00
2020-01-14,-14℃,68%,144,2020-01-14 10:05:00
2020-01-14,-9℃,50%,122,2020-01-14 11:52:00
2020-01-14,-7℃,49%,118,2020-01-14 12:55:00
2020-01-14,-6℃,40%,115,2020-01-14 13:58:00
2020-01-14,-7℃,42%,103,2020-01-14 15:02:00
2020-01-14,-8℃,42%,89,2020-01-14 16:04:00
2020-01-14,-9℃,53%,98,2020-01-14 16:54:00
2020-01-14,-11℃,60%,122,2020-01-14 17:45:00
2020-01-14,-12℃,68%,132,2020-01-14 18:54:00
2020-01-14,-14℃,73%,143,2020-01-14 19:50:00
2020-01-14,-16℃,78%,156,2020-01-14 20:56:00
2020-01-14,-17℃,80%,163,2020-01-14 22:08:00
2020-01-14,-17℃,82%,173,2020-01-14 22:56:00
2020-01-15,-18℃,80%,189,2020-01-15 00:00:00
2020-01-15,-19℃,80%,195,2020-01-15 00:57:00
2020-01-15,-19℃,83%,205,2020-01-15 01:57:00
2020-01-15,-19℃,82%,205,2020-01-15 02:51:00
2020-01-15,-20℃,81%,206,2020-01-15 03:59:00
2020-01-15,-20℃,81%,207,2020-01-15 05:06:00
2020-01-15,-20℃,82%,208,2020-01-15 06:00:00
2020-01-15,-19℃,83%,212,2020-01-15 06:59:00
2020-01-15,-18℃,83%,198,2020-01-15 08:05:00
2020-01-15,-16℃,79%,190,2020-01-15 09:04:00
2020-01-15,-14℃,72%,206,2020-01-15 09:58:00
2020-01-15,-11℃,61%,225,2020-01-15 11:00:00
2020-01-15,-8℃,53%,230,2020-01-15 12:00:00
2020-01-15,-5℃,48%,198,2020-01-15 13:10:00
2020-01-15,-6℃,48%,149,2020-01-15 14:00:00
2020-01-15,-5℃,43%,109,2020-01-15 15:00:00
2020-01-15,-6℃,45%,90,2020-01-15 16:00:00
2020-01-15,-7℃,49%,82,2020-01-15 16:45:00
2020-01-15,-7℃,54%,78,2020-01-15 18:00:00
2020-01-15,-12℃,67%,87,2020-01-15 19:00:00
2020-01-15,-14℃,72%,105,2020-01-15 20:10:00
2020-01-15,-14℃,78%,119,2020-01-15 21:03:00
2020-01-15,-15℃,80%,128,2020-01-15 21:32:00
2020-01-15,-16℃,81%,150,2020-01-15 23:00:00
2020-01-16,-17℃,83%,176,2020-01-16 00:00:00
2020-01-16,-17℃,82%,199,2020-01-16 00:52:00
2020-01-16,-18℃,83%,211,2020-01-16 02:00:00
2020-01-16,-18℃,83%,206,2020-01-16 03:00:00
2020-01-16,-19℃,83%,192,2020-01-16 04:00:00
2020-01-16,-19℃,82%,205,2020-01-16 04:49:00
2020-01-16,-20℃,82%,218,2020-01-16 06:00:00
2020-01-16,-20℃,82%,226,2020-01-16 07:00:00
2020-01-16,-18℃,85%,227,2020-01-16 08:10:00
2020-01-16,-14℃,81%,209,2020-01-16 09:00:00
2020-01-16,-11℃,67%,216,2020-01-16 10:00:00
2020-01-16,-9℃,56%,122,2020-01-16 11:10:00
2020-01-16,-7℃,50%,122,2020-01-16 12:00:00
2020-01-16,-6℃,46%,89,2020-01-16 13:00:00
2020-01-16,-6℃,47%,72,2020-01-16 13:34:00
2020-01-16,-6℃,47%,70,2020-01-16 15:00:00
2020-01-16,-7℃,49%,67,2020-01-16 16:00:00
2020-01-16,-10℃,58%,62,2020-01-16 17:00:00
2020-01-16,-12℃,68%,77,2020-01-16 18:10:00
2020-01-16,-14℃,72%,103,2020-01-16 19:00:00
2020-01-16,-14℃,75%,117,2020-01-16 20:00:00
2020-01-16,-15℃,76%,132,2020-01-16 20:47:00
2020-01-16,-15℃,78%,132,2020-01-16 21:55:00
2020-01-16,-17℃,80%,130,2020-01-16 23:00:00
2020-01-17,-17℃,82%,143,2020-01-17 00:00:00
2020-01-17,-18℃,80%,155,2020-01-17 00:32:00
2020-01-17,-18℃,82%,163,2020-01-17 02:00:00
2020-01-17,-18℃,85%,166,2020-01-17 03:00:00
2020-01-17,-17℃,83%,183,2020-01-17 04:00:00
2020-01-17,-17℃,83%,201,2020-01-17 05:00:00
2020-01-17,-17℃,83%,206,2020-01-17 05:40:00
2020-01-17,-17℃,83%,210,2020-01-17 07:00:00
2020-01-17,-16℃,83%,203,2020-01-17 08:00:00
2020-01-17,-13℃,80%,192,2020-01-17 09:10:00
2020-01-17,-12℃,75%,176,2020-01-17 09:40:00
2020-01-17,-7℃,56%,175,2020-01-17 11:20:00
2020-01-17,-6℃,54%,175,2020-01-17 12:07:00
2020-01-17,-5℃,50%,158,2020-01-17 12:54:00
2020-01-17,-4℃,46%,135,2020-01-17 13:54:00
2020-01-17,-3℃,48%,103,2020-01-17 15:10:00
2020-01-17,-4℃,49%,87,2020-01-17 15:57:00
2020-01-17,-6℃,56%,84,2020-01-17 17:10:00
2020-01-17,-8℃,62%,98,2020-01-17 18:04:00
2020-01-17,-9℃,65%,138,2020-01-17 18:57:00
2020-01-17,-10℃,68%,155,2020-01-17 19:54:00
2020-01-17,-12℃,73%,165,2020-01-17 21:05:00
2020-01-17,-13℃,78%,178,2020-01-17 22:02:00
2020-01-17,-14℃,80%,179,2020-01-17 23:02:00
2020-01-18,-16℃,81%,211,2020-01-18 00:57:00
2020-01-18,-16℃,84%,231,2020-01-18 01:54:00
2020-01-18,-17℃,84%,240,2020-01-18 02:55:00
2020-01-18,-17℃,84%,243,2020-01-18 03:54:00
2020-01-18,-18℃,83%,230,2020-01-18 05:09:00
2020-01-18,-18℃,83%,220,2020-01-18 05:54:00
2020-01-18,-17℃,85%,224,2020-01-18 06:57:00
2020-01-18,-15℃,84%,224,2020-01-18 08:03:00
2020-01-18,-13℃,80%,217,2020-01-18 09:10:00
2020-01-18,-11℃,72%,228,2020-01-18 10:02:00
2020-01-18,-6℃,59%,246,2020-01-18 11:03:00
2020-01-18,-4℃,51%,258,2020-01-18 12:08:00
2020-01-18,-2℃,49%,238,2020-01-18 12:54:00
2020-01-18,-1℃,39%,189,2020-01-18 13:59:00
2020-01-18,-1℃,41%,119,2020-01-18 15:06:00
2020-01-18,-2℃,45%,99,2020-01-18 15:55:00
2020-01-18,-3℃,50%,105,2020-01-18 16:57:00
2020-01-18,-6℃,60%,112,2020-01-18 18:04:00
2020-01-18,-6℃,63%,120,2020-01-18 19:10:00
2020-01-18,-6℃,66%,135,2020-01-18 20:08:00
2020-01-18,-6℃,65%,173,2020-01-18 21:09:00
2020-01-18,-5℃,67%,195,2020-01-18 22:10:00
2020-01-18,-5℃,76%,200,2020-01-18 23:09:00
2020-01-19,-5℃,92%,209,2020-01-19 01:09:00
2020-01-19,-3℃,94%,202,2020-01-19 01:58:00
2020-01-19,-3℃,94%,182,2020-01-19 02:52:00
2020-01-19,-4℃,93%,182,2020-01-19 04:08:00
2020-01-19,-4℃,92%,208,2020-01-19 04:54:00
2020-01-19,-4℃,61%,183,2020-01-19 05:54:00
2020-01-19,-6℃,64%,99,2020-01-19 06:58:00
2020-01-19,-6℃,69%,60,2020-01-19 07:54:00
2020-01-19,-5℃,68%,64,2020-01-19 09:05:00
2020-01-19,-5℃,62%,74,2020-01-19 10:07:00
2020-01-19,-4℃,52%,70,2020-01-19 11:04:00
2020-01-19,-5℃,50%,59,2020-01-19 11:57:00
2020-01-19,-4℃,46%,48,2020-01-19 13:09:00
2020-01-19,-4℃,44%,31,2020-01-19 14:03:00
2020-01-19,-4℃,44%,29,2020-01-19 15:06:00
2020-01-19,-5℃,47%,27,2020-01-19 16:05:00
2020-01-19,-6℃,51%,25,2020-01-19 16:54:00
2020-01-19,-9℃,63%,28,2020-01-19 18:03:00
2020-01-19,-11℃,69%,30,2020-01-19 18:56:00
2020-01-19,-12℃,77%,40,2020-01-19 19:57:00
2020-01-19,-14℃,80%,60,2020-01-19 21:08:00
2020-01-19,-14℃,83%,73,2020-01-19 22:05:00
2020-01-19,-15℃,83%,89,2020-01-19 22:54:00
2020-01-20,-14℃,84%,100,2020-01-20 01:08:00
2020-01-20,-15℃,82%,97,2020-01-20 02:08:00
2020-01-20,-14℃,82%,90,2020-01-20 03:06:00
2020-01-20,-16℃,81%,97,2020-01-20 03:56:00
2020-01-20,-16℃,83%,103,2020-01-20 04:53:00
2020-01-20,-17℃,83%,108,2020-01-20 06:06:00
2020-01-20,-17℃,84%,103,2020-01-20 07:04:00
2020-01-20,-17℃,84%,99,2020-01-20 07:54:00
2020-01-20,-9℃,74%,100,2020-01-20 09:06:00
2020-01-20,-5℃,48%,105,2020-01-20 10:13:00
2020-01-20,-4℃,42%,97,2020-01-20 11:02:00
2020-01-20,-4℃,39%,57,2020-01-20 11:53:00
2020-01-20,-3℃,40%,35,2020-01-20 13:01:00
2020-01-20,-3℃,41%,25,2020-01-20 13:55:00
2020-01-20,-3℃,40%,25,2020-01-20 15:10:00
2020-01-20,-3℃,41%,24,2020-01-20 15:53:00
2020-01-20,-6℃,48%,23,2020-01-20 17:09:00
2020-01-20,-9℃,59%,24,2020-01-20 18:09:00
2020-01-20,-11℃,66%,31,2020-01-20 19:02:00
2020-01-20,-13℃,72%,39,2020-01-20 20:04:00
2020-01-20,-14℃,78%,54,2020-01-20 21:09:00
2020-01-20,-14℃,80%,73,2020-01-20 21:53:00
